"","crashYear","crashSever","regname","regid","taname","taid","crashcnt"
"27",2018,"Fatal Crash","Northland Region","01","Far North District","001",7
"28",2018,"Fatal Crash","Northland Region","01","Kaipara District","003",5
"29",2018,"Fatal Crash","Northland Region","01","Whangarei District","002",7
"30",2018,"Fatal Crash","Otago Region","14","Central Otago District","069",3
"31",2018,"Fatal Crash","Otago Region","14","Clutha District","072",1
"32",2018,"Fatal Crash","Otago Region","14","Dunedin City","071",1
"33",2018,"Fatal Crash","Otago Region","14","Queenstown-Lakes District","070",1
"34",2018,"Fatal Crash","Otago Region","14","Waitaki District","068",1
"35",2018,"Fatal Crash","Southland Region","15","Invercargill City","075",2
"36",2018,"Fatal Crash","Southland Region","15","Southland District","073",6
"37",2018,"Fatal Crash","Taranaki Region","07","New Plymouth District","033",6
"38",2018,"Fatal Crash","Taranaki Region","07","South Taranaki District","035",3
"39",2018,"Fatal Crash","Tasman Region","16","Tasman District","051",2
"40",2018,"Fatal Crash","Waikato Region","03","Hamilton City","016",6
"41",2018,"Fatal Crash","Waikato Region","03","Hauraki District","012",3
"42",2018,"Fatal Crash","Waikato Region","03","Matamata-Piako District","015",6
"43",2018,"Fatal Crash","Waikato Region","03","Rotorua District","024",2
"44",2018,"Fatal Crash","Waikato Region","03","South Waikato District","019",5
"45",2018,"Fatal Crash","Waikato Region","03","Taupo District","021",8
"46",2018,"Fatal Crash","Waikato Region","03","Thames-Coromandel District","011",2
"47",2018,"Fatal Crash","Waikato Region","03","Waikato District","013",8
"48",2018,"Fatal Crash","Waikato Region","03","Waipa District","017",1
"49",2018,"Fatal Crash","Waikato Region","03","Waitomo District","020",4
"50",2018,"Fatal Crash","Waikato Region","03","Ōtorohanga District","018",5
"51",2018,"Fatal Crash","Wellington Region","09","Carterton District","049",1
"52",2018,"Fatal Crash","Wellington Region","09","Masterton District","048",4
"53",2018,"Fatal Crash","Wellington Region","09","Porirua City","044",1
"54",2018,"Fatal Crash","Wellington Region","09","South Wairarapa District","050",1
"55",2018,"Fatal Crash","Wellington Region","09","Upper Hutt City","045",1
"56",2018,"Fatal Crash","Wellington Region","09","Wellington City","047",3
"57",2018,"Fatal Crash","West Coast Region","12","Buller District","055",3
"58",2018,"Fatal Crash","West Coast Region","12","Grey District","056",1
"59",2018,"Fatal Crash","West Coast Region","12","Westland District","057",1
"60",2018,"Minor Crash","Area Outside Region","99","Chatham Islands Territory","067",1
"61",2018,"Minor Crash","Auckland Region","02","Auckland","076",1954
"62",2018,"Minor Crash","Bay of Plenty Region","04","Kawerau District","026",5
"63",2018,"Minor Crash","Bay of Plenty Region","04","Rotorua District","024",80
"64",2018,"Minor Crash","Bay of Plenty Region","04","Taupo District","021",1
"65",2018,"Minor Crash","Bay of Plenty Region","04","Tauranga City","023",146
"66",2018,"Minor Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",65
"67",2018,"Minor Crash","Bay of Plenty Region","04","Whakatane District","025",63
"68",2018,"Minor Crash","Bay of Plenty Region","04","Ōpōtiki District","027",11
"69",2018,"Minor Crash","Canterbury Region","13","Ashburton District","063",51
"70",2018,"Minor Crash","Canterbury Region","13","Christchurch City","060",403
"71",2018,"Minor Crash","Canterbury Region","13","Hurunui District","058",36
"72",2018,"Minor Crash","Canterbury Region","13","Kaikoura District","054",20
"73",2018,"Minor Crash","Canterbury Region","13","Mackenzie District","065",11
"74",2018,"Minor Crash","Canterbury Region","13","Selwyn District","062",38
"75",2018,"Minor Crash","Canterbury Region","13","Timaru District","064",59
"76",2018,"Minor Crash","Canterbury Region","13","Waimakariri District","059",47
"77",2018,"Minor Crash","Canterbury Region","13","Waimate District","066",20
"78",2018,"Minor Crash","Canterbury Region","13","Waitaki District","068",3
"79",2018,"Minor Crash","Gisborne Region","05","Gisborne District","028",91
"80",2018,"Minor Crash","Hawke's Bay Region","06","Central Hawke's Bay District","032",20
"81",2018,"Minor Crash","Hawke's Bay Region","06","Hastings District","030",137
"82",2018,"Minor Crash","Hawke's Bay Region","06","Napier City","031",99
"83",2018,"Minor Crash","Hawke's Bay Region","06","Taupo District","021",3
"84",2018,"Minor Crash","Hawke's Bay Region","06","Wairoa District","029",25
"85",2018,"Minor Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",54
"86",2018,"Minor Crash","Manawatū-Whanganui Region","08","Manawatu District","039",70
"87",2018,"Minor Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",109
"88",2018,"Minor Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",40
"89",2018,"Minor Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",43
"90",2018,"Minor Crash","Manawatū-Whanganui Region","08","Tararua District","041",41
"91",2018,"Minor Crash","Manawatū-Whanganui Region","08","Waitomo District","020",2
"92",2018,"Minor Crash","Manawatū-Whanganui Region","08","Whanganui District","037",89
"93",2018,"Minor Crash","Marlborough Region","18","Marlborough District","053",80
"94",2018,"Minor Crash","Nelson Region","17","Nelson City","052",63
"95",2018,"Minor Crash","Northland Region","01","Far North District","001",154
"96",2018,"Minor Crash","Northland Region","01","Kaipara District","003",48
"97",2018,"Minor Crash","Northland Region","01","Whangarei District","002",139
"98",2018,"Minor Crash","Otago Region","14","Central Otago District","069",23
"99",2018,"Minor Crash","Otago Region","14","Clutha District","072",67
"100",2018,"Minor Crash","Otago Region","14","Dunedin City","071",204
"101",2018,"Minor Crash","Otago Region","14","Queenstown-Lakes District","070",50
"102",2018,"Minor Crash","Otago Region","14","Waitaki District","068",54
"103",2018,"Minor Crash","Southland Region","15","Gore District","074",28
"104",2018,"Minor Crash","Southland Region","15","Invercargill City","075",83
"105",2018,"Minor Crash","Southland Region","15","Southland District","073",70
"106",2018,"Minor Crash","Taranaki Region","07","New Plymouth District","033",123
"107",2018,"Minor Crash","Taranaki Region","07","South Taranaki District","035",50
"108",2018,"Minor Crash","Taranaki Region","07","Stratford District","034",19
"109",2018,"Minor Crash","Tasman Region","16","Tasman District","051",81
"110",2018,"Minor Crash","Waikato Region","03","Hamilton City","016",219
"111",2018,"Minor Crash","Waikato Region","03","Hauraki District","012",55
"112",2018,"Minor Crash","Waikato Region","03","Matamata-Piako District","015",93
"113",2018,"Minor Crash","Waikato Region","03","Rotorua District","024",12
"114",2018,"Minor Crash","Waikato Region","03","South Waikato District","019",55
"115",2018,"Minor Crash","Waikato Region","03","Taupo District","021",91
"116",2018,"Minor Crash","Waikato Region","03","Thames-Coromandel District","011",48
"117",2018,"Minor Crash","Waikato Region","03","Waikato District","013",187
"118",2018,"Minor Crash","Waikato Region","03","Waipa District","017",75
"119",2018,"Minor Crash","Waikato Region","03","Waitomo District","020",31
"120",2018,"Minor Crash","Waikato Region","03","Ōtorohanga District","018",37
"121",2018,"Minor Crash","Wellington Region","09","Carterton District","049",11
"122",2018,"Minor Crash","Wellington Region","09","Kapiti Coast District","043",50
